RutId,Rut,Nombre
765325609,765325609,Sushi Zuki 
760478059,760478059,VERGARA Y MIDDLETON LIMITADA 
761052330,761052330,Administradora De Restaurantes Y Franquicias Misaki Spa 
760837288,760837288,Seafood Market SCL 
763372332,763372332,CANDELARIA PRODUCCIONES LIMITADA 
89664100K,89664100K,Comercial Raidas Limitada 
760420573,760420573,Restaurant Emilio 
760853399,760853399,Guzta Gastronomia Limitada 
760958395,760958395,Restaurant La Casa Vieja 
762821141,762821141,Balbona 
77824330K,77824330K,Ichiban Japanese Bistro 
968902709,968902709,Restauran La Tabla 
777032909,777032909,Starnberg Restaurant 
969051001,,¿Qué Buscas? 
995229307,995229307,Da Carla 
763194248,763194248,Naoki 
760952761,,¿Qué Buscas? 
775289406,775289406,Alejandro Leiva Y Compania Limitada 
795394605,795394605,Pagoda 
96971230K,96971230K,Platinum Club 
760898236,760898236,Fortunata 
762726823,762726823,DANES SPA 
764940105,764940105,Ox Restaurant 
655343202,655343202,Hacienda Chicureo Club de Golf 
969208806,,¿Qué Buscas? 
969095408,969095408,Las Urracas 
762496976,762496976,Centro de Eventos Club Manquehue 
764552407,764552407,Le Due Torri 
764979109,764979109,Tempura Japanese & Thai 
967941506,967941506,El Otro Sitio 
70017350K,70017350K,Club de Golf Sport Francés 
886656009,,¿Qué Buscas? 
965842802,,¿Qué Buscas? 
968840606,,Pizza Hut 
969886308,969886308,Estrategi 
60711000K,60711000K,Inacap 
762068737,762068737,COMERCIAL CHRISTIAN BRAVO PLACENCIA EIRL 
764372336,764372336,BRAVO Y MENA SOCIEDAD LIMITADA 
765318025,765318025,DI TREVI CARNES LIMITADA 
76211741K,76211741K,MUNOZ Y BUSTOS LIMITADA 
761756915,761756915,Restaurant De Banderas Limitada 
764220870,764220870,CAFE DI TREVI LIMITADA 
802086008,802086008,Club De Nuble 
764018885,764018885,SOCIEDAD GASTRONOMICA C Y K LIMITADA 
762811650,762811650,Luis Godoy Fernandez Y Compania Limitada 
760255882,760255882,Paladares Chinos Y Comidas Internacionales Limitada 
777191705,777191705,Restaurant Chino Paraíso Oriental 
761417991,761417991,Restaurant el Faro 
766035507,766035507,Restaurant Fuego Divino 
778240505,778240505,Restaurant Entre Álamos 
760925055,760925055,Sociedad Comercial Xiao E Hijos Limitada 
763590828,763590828,SOCIEDAD GASTRONOMICA JPR LIMITADA 
770098009,770098009,Devorin M.R. 
766928307,766928307,Soc Com E Inversiones Luis Valdes Rivas Y Cia Ltda 
764362209,764362209,Restaurant La Motoneta 
760871907,760871907,Discotheque La Capilla 
761081632,761081632,Comercial Y Alimentos Ross Limitada 
761047175,761047175,Gastronomia Araucaria Limitada 
762025914,762025914,Capricciosa Pizza & Pasta 
779608905,,¿Qué Buscas? 
760904066,760904066,COMERCIAL CAFE LIMITADA 
761347144,761347144,El Mago 
765981905,765981905,COMERCIAL E INVERSIONES COSTA MARINA LIMITADA 
761657321,761657321,Central Coffee Lounge 
760974145,760974145,EVENTOS HUGO POBLETE POBLETE EMPRESA INDIVIDUAL DE RESPONSAB 
763606074,763606074,GALAZ GALAZ LIMITADA 
763164349,763164349,JARANA LIMITADA 
760956732,760956732,MARCELO LAGOS AGUILERA AGRICOLA Y COMERCIAL E.I.R.L. 
762109131,762109131,NEWIN DEPORTES Y RECREACION SPA 
760105244,760105244,PATRICIA ANGELICA EGANA GACHON RESTAURANTE PUB Y DISCOTECA E 
761404903,761404903,3er Tiempo 
76338716K,76338716K,SOCIEDAD COMERCIALIZADORA Y DE TRANSPORTES 911 SPA 
761144154,761144154,Hidalgos Restaurant 
763195082,763195082,BAR FURAI COMPANIA LIMITADA 
760434183,760434183,Cnef 
760365661,760365661,COMERCIAL AMY LIMITADA 
779979709,779979709,Restaurant China Town 
760033669,760033669,Restaurant Feng 
761556223,761556223,Compania Chavez Y Sanchez Limitada 
760340642,760340642,L'antica Pizza Artesana 
760047708,760047708,HINRICHSEN Y GARCIA LIMITADA 
78110910K,78110910K,Restaurant Chino Zing Wha 
888533001,888533001,Quezada Y Compania Limitada 
760756407,760756407,La Pica de Puchacay 
761354477,761354477,Las Américas Restaurant 
764896904,764896904,Treinta Xpress 
760387517,760387517,Rhap Pizzas y Pastas 
764279832,764279832,SOCIEDAD HIDALGO BIZAMA LIMITADA 
775309806,775309806,Restaurante Palacio Oriental 
762282380,762282380,YOUNG Y FRANCO LIMITADA 
767929803,767929803,Restaurant Rosa Amelia 
760484431,760484431,COMERCIAL TASTYS FOOD LIMITADA 
762258897,762258897,Como ... Fina Estampa Spa 
762519194,762519194,Vivo Mix Restobar 
763876837,763876837,FUENTES Y FUENTES LIMITADA 
760164860,760164860,Gastronomia Tijuana Express Limitada 
762626667,762626667,Sabor Urbano 
762473569,762473569,La Pasta de la Nonna 
761446452,761446452,Fusión Urbana 
76362434K,76362434K,SOCIEDAD GASTRONOMICA AMANDA LIMITADA 
76346895K,76346895K,SOCIEDAD OPERADORA DE FRANQUICIAS RESTAURANT Y SERVICIOS NEB 
789808708,789808708,Spa Neptuno 
823765002,823765002,Centro Español de Concepción 
761961896,761961896,Centro de Eventos Bellavista 
762520338,762520338,Franquicias De Alimentos Limitada 
763475751,763475751,GYLLEN Y STUARDO LIMITADA 
782685600,782685600,Café y Restaurant Arco´s 
777598309,777598309,Pizzería & Restaurant Mutto's 
778548003,778548003,Restaurant Pub Madero Lounge 
760081078,760081078,Latitud Sur Micro Cervecería 
761779389,761779389,COMERCIAL DON QUIJOTE CENTRO LIMITADA 
760149152,760149152,Don Quijote Restaurant 
703413005,703413005,Corporacion Club Concepcion 
78497930K,78497930K,Restaurant Faro Belén 
760489514,760489514,Inversiones Y Restaurantes Calderon Y Acuna Limitada 
767091303,,¿Qué Buscas? 
76751350K,76751350K,Solocarnes 
761733427,761733427,R C SERVICIOS E INVERSIONES S.A 
761393812,761393812,Tiralomo 
775874104,775874104,Restaurant La Parrilla Punto Com 
761437976,761437976,"Szerecz, Szerecz Y Molina Limitada "
762626934,762626934,Munoz Quezada Y Compania Limitada 
77540180K,77540180K,Bar Restaurante Club Bertone 
768707006,768707006,Planeta Sandwich 
796774207,796774207,Restaurant Brisa Marina 
764131118,764131118,SOCIEDAD COMERCIAL GASTRONOMICA LOS ANGELES SPA 
765228824,765228824,SOCIEDAD DE INVERSIONES HOTELERA VP LIMITADA 
760331546,760331546,Essadeiro 
761006479,761006479,SOCIEDAD COMERCIAL WERCONT LIMITADA 
761555723,761555723,Bife Sureño 
764192028,764192028,Restaurant El Alero 
762487659,762487659,A.M.MOYA & E. VEJAR LIMITADA 
762204797,762204797,ENTRE REYES Y REYES SPA 
510843703,510843703,Jun Chen Y Otros 
764439171,764439171,SOCIEDAD COMERCIAL VYV SPA 
764224639,764224639,SOCIEDAD GASTRONOMICA Y EVENTOS RANCHO CASA BLANCA LIMITADA 
761577638,761577638,Restaurant Brisa Marina 
763830586,763830586,COMERCIAL ALVARO Y MANUEL LIMITADA 
765917204,765917204,RESTAURANT QUINCHO DEL AVELLANITO LIMITADA 
762904500,762904500,SERVICIOS DE ALIMENTACION BAGUAL LIMITADA 
764369602,764369602,Restaurant Chino
763399591,763399591,SUPERSANDWICH LTDA. 
761607715,761607715,Gastronomia Los Angeles Limitada 
778612402,778612402,Sur Visión 
768477809,768477809,Sandwicheria lomito Sureño 
760304735,760304735,Kavasso Restaurant 
763477223,763477223,SOCIEDAD DE INVERSIONES TOSAL LIMITADA 
796905506,796905506,Restaurant y Marisquería Juanito 
769008209,769008209,Colaciones a Domicilio Cafe Sabores 
761936190,761936190,"ALEJANDRO ALARCON RESTAURANTE, CATERING Y EVENTOS EMPRESA INDIVIDUAL DE RESPONSA "
761194739,761194739,El Pollo Loco 
762229889,762229889,EVENTOS SUZARTE & DELLAROSSA Y COMPANIA LIMITADA 
764171845,764171845,GASTRONOMICA E INVERSIONES MACHUPICHU LIMITADA 
761578065,761578065,Fogon Sangre de Toro 
768468605,768468605,Carpe Diem 
760564583,760564583,Casino Bistro 
763108015,763108015,GASTRONOMIA EL SAUCE SPA 
789199701,,¿Qué Buscas? 
778200309,778200309,INVERSIONES CARACOL LIMITADA 
760489557,760489557,Inversiones Y Restaurantes Calderon Y Altamirano Limitada 
761134388,761134388,SOCIEDAD GASTRONOMICA E INVERSIONES EGE COMPANIA LIMITADA 
764934911,764934911,ALIMENTOS E INVERSIONES SHIRO ZA LIMITADA 
76404939K,76404939K,ALIMENTOS E INVERSIONES VALLEJOS BAHAMONDES Y LINDEMANN SPA 
76152576K,76152576K,Comercial Araya & Valle Restaurant Limitada 
520049797,520049797,FARID JESUS HARUN VILLEGAS ADMINISTRACION DE RESTAURANTES EIRL 
766320406,766320406,Ricardo Antonio Zurita Ibanez Pizzerias Bar Y Servicios Gastronomicos 
773084300,773084300,Restaurant Platón Mall Plaza El Trébol 
