Rut,Nombre
76037802K,Restaurant Long Cheung 
761674641,Mendos 
764047974,Olimpia Fuente de Soda Pizzería 
76167305K,Vittamina 
778627302,Bar 
770223709,Restaurant Santo Remedio 
861470008,Soc Comercial Santa Maria S A 
778277808,Flamingo 
767574908,SOC DE PRESTACIONES MEDICAS Y OFTALMOLOGICAS DOCTOR MIGUEL RUIZ Y CIA LTDA 
77345700K,Gastronómica Buonaroma Ltda. 
769353208,Entre Piscos Gastronomía Peruana 
761391283,Sociedad Comercial Grupo Morgan Limitada 
760811300,Olan Restaurant 
760874744,Sociedad De Servicios De Alimentacion Limitada 
763149854,Sociedad Gastronomica El Maesro de Las Vacas Limitada 
761545361,Lai Thai 
760091154,Sociedad Gastronomica Y Banquetera Neatcoppa Limitada 
760221848,Japón Ya 
766021409,Restobar Pacto 
777823604,Tablas Sociedad de Gastronomia y Pubs Limitada 
776133205,McDonald's 
761953702,Asesorias Y Representaciones Copa Chile Limitada 
762436655,Barbazul Club 
965684204,Ristorante Rivoli 
761478028,Take a Wok 
763873900,Bavaria 
76263788K,Comercial Ajim Limitada 
760860522,Yokono 
786212405,Restaurant Oriental 
760360309,De La Ostia 
764348206,Ramblas 
761586858,Fuente de Soda Las Cabras 
969606402,Tavelli 
764226801,Machu Picchu 
,¿Qué Buscas? 
779202909,Subterráneo 
77839670K,Los Insaciables 
762444755,SOCIEDAD GASTRONOMICA COOK ELITE SPA 
760704253,Galindo Bar y Restaurante 
76080326K,La Bifería Restaurant 
76937020K,Paijan 
769045805,Cocina India Tradicional Rishtedar 
762966034,Uncle Fletch Chile Spa 
760874302,Chef Guillermo Rodriguez 
965959505,Casinos Chile S.A. 
787118100,Fuente Alemana 
761985698,COMERCIAL COSTA CHILE LIMITADA 
76077409K,Dublín 
771469507,Como Agua para Chocolate 
760155314,Fukai Sushi Lounge And Asian Bistro 
